Workplace Example,Element Name,Hot Technology,In Demand
Apache Struts,Web platform development software,N,N
Apache Subversion SVN,File versioning software,Y,N
Apache Tomcat,Web platform development software,Y,N
Apatar,Metadata management software,N,N
Apex Business Software iBenefits,Human resources software,N,N
Apex Business Software iHR,Human resources software,N,N
Apex IV Assessor,Map creation software,N,N
Apex IV Fee Appraiser,Map creation software,N,N
Apex MobileSketch,Map creation software,N,N
Apfloat,Analytical or scientific software,N,N
Apian SurveyPro,Data base user interface and query software,N,N
Apollo Photonics APSS,Computer aided design CAD software,N,N
Apollo Reservation System,Calendar and scheduling software,N,N
App Software Associations AppTrak.net,Project management software,N,N
AppFolio Property Manager,Data base user interface and query software,N,N
Appium,Program testing software,N,Y
Apple AppleScript,Operating system software,N,N
Apple AppleWorks,Spreadsheet software,N,N
Apple Cocoa,Object or component oriented development software,N,N
Apple DVD Studio Pro,Video creation and editing software,N,N
Apple DrawBerry,Graphics or photo imaging software,N,N
Apple Final Cut Express,Video creation and editing software,N,N
Apple Final Cut Pro,Video creation and editing software,N,N
Apple Final Cut Studio,Video creation and editing software,N,N
Apple GarageBand,Music or sound editing software,N,N
Apple Keynote,Presentation software,N,N
Apple Logic Pro,Music or sound editing software,N,N
Apple MainStage,Music or sound editing software,N,N
Apple Numbers for Mac,Spreadsheet software,N,N
Apple QuickTime,Video creation and editing software,N,N
Apple Safari,Internet browser software,Y,N
Apple Shazam,Analytical or scientific software,N,N
Apple Xsan,Filesystem software,N,N
Apple iDVD,Video creation and editing software,N,N
Apple iMovie,Video creation and editing software,N,N
Apple iOS,Operating system software,Y,Y
Apple iPhoto,Graphics or photo imaging software,N,N
Apple iWork,Office suite software,N,N
Apple iWork Keynote,Presentation software,N,N
Apple iWork Numbers,Spreadsheet software,N,N
Apple iWork Pages,Word processing software,N,N
Apple macOS,Operating system software,Y,N
Appletree,Computer based training software,N,N
AppliCad Roof Wizard,Computer aided design CAD software,N,N
Applicant tracking software,Human resources software,N,Y
ApplicantPro iApplicants,Human resources software,N,N
Application Software SHEAR,Project management software,N,N
Application management software,Configuration management software,N,N
Application-specific integrated circuit ASIC logic synthesis software,Analytical or scientific software,N,N
Applied Biosystems GeneMapper,Analytical or scientific software,N,N
Applied Computer Systems JOBPOWER,Accounting software,N,N
Applied Flow Technology AFT Arrow,Analytical or scientific software,N,N
Applied Flow Technology AFT Fathom,Analytical or scientific software,N,N
Applied Imagery Quick Terrain Modeler,Map creation software,N,N
Applied Production ProFab,Computer aided manufacturing CAM software,N,N
Applied Production ProFold,Computer aided design CAD software,N,N
Applied Search Technology CADFind,Document management software,N,N
Applied Software Technologies Asset Maintenance and Materials Management System,Materials requirements planning logistics and supply chain software,N,N
Applied Systems Associates aSa Rebar,Project management software,N,N
Applied Systems The Agency Manager,Enterprise resource planning ERP software,N,N
Applied Systems Vision,Customer relationship management CRM software,N,N
Appligent Citation FDFMerge,Document management software,N,N
Appointment Search,Calendar and scheduling software,N,N
Appointment scheduling software,Calendar and scheduling software,N,N
AppointmentQuest Online Appointment Manager,Calendar and scheduling software,N,N
AppointmentQuest Online Appointment Scheduler,Calendar and scheduling software,N,N
Appraisal software,Financial analysis software,N,N
Aprimo Marketing,Enterprise resource planning ERP software,N,N
Aptean Made2Manage,Enterprise resource planning ERP software,N,N
Aptean Onyx CRM,Customer relationship management CRM software,N,N
Aptech Systems GAUSS,Analytical or scientific software,N,N
Apteryx Imaging Suite,Graphics or photo imaging software,N,N
Aqsis Renderer,Graphics or photo imaging software,N,N
AquaSoft Farm Manager,Project management software,N,N
Aquatic Plant Information Retrieval System APIRS,Analytical or scientific software,N,N
Aquifer test software,Analytical or scientific software,N,N
ArbelSoft TailorMax,Point of sale POS software,N,N
Arbita OnePost,Human resources software,N,N
Arbita OneWorld,Human resources software,N,N
Arbor Image Draftsman,Data compression software,N,N
Arbutus Analyzer,Analytical or scientific software,N,N
Arc Second PocketCAD,Computer aided design CAD software,N,N
ArcGIS Web AppBuilder,Development environment software,N,N
ArcSight Enterprise Threat and Risk Management,Risk management data and analysis software,N,N
Archeological Sites Management Information System ASMIS,Data base user interface and query software,N,N
Archer Compliance Management,Compliance software,N,N
Architectural Energy Corporation ENFORMA Building Diagnostics,Analytical or scientific software,N,N
Architectural Energy Corporation REM/Rate,Analytical or scientific software,N,N
Architectural Energy Corporation VisualDOE,Analytical or scientific software,N,N
Architecture description language ADL,Requirements analysis and system architecture software,N,N
Archival databases,Information retrieval or search software,N,N
ArchiveGrid,Information retrieval or search software,N,N
Archives Wiki,Information retrieval or search software,N,N
Archivists' Toolkit,Data base user interface and query software,N,Y
Archon,Data base user interface and query software,N,N
Arcline ArcFreight,Materials requirements planning logistics and supply chain software,N,N
Ardexus Mode,Customer relationship management CRM software,N,N
Ardexus TASC,Customer relationship management CRM software,N,N
ArduPilot Mission Planner,Aviation ground support software,N,N
Arena Health Systems Phys-X,Medical software,N,N
ArenaSoft Estimating,Analytical or scientific software,N,N
Argos Software ABECAS Insight,Enterprise resource planning ERP software,N,N
Argos Software ABECAS Insight FMS,Accounting software,N,N
Argos Software ABECAS Insight WMS,Inventory management software,N,N
Argosy Legal Systems Power Closer,Data base user interface and query software,N,N
Argus ONE Open Numerical Environments,Analytical or scientific software,N,N
Argus Perceptual Mapper,Analytical or scientific software,N,N
Aris Global Register,Compliance software,N,N
Arkenstone Atlas Speaks,Analytical or scientific software,N,N
Arkitektia Flight Itinerary,Calendar and scheduling software,N,N
Armand Morin MultiTrack Generator,Transaction server software,N,N
Armchair Machinist software,Analytical or scientific software,N,N
Army Food Management Information System,Inventory management software,N,N
Arobas Music Guitar Pro,Music or sound editing software,N,N
Arpege Music Pizzicato,Music or sound editing software,N,N
Arping,Network monitoring software,N,N
Arrival Departure Information System ADIS,Data base user interface and query software,N,N
Arrow Electronics N/Compass,Human resources software,N,N
ArtScope.net eArtist,Data base user interface and query software,N,N
ArticSoft FileAssurity,Transaction security and virus protection software,N,N
Articulate 360,Computer based training software,N,N
Articulate Rapid E-Learning Studio,Computer based training software,N,N
Articulate Storyline,Computer based training software,N,Y
Artifice DesignWorkshop,Computer aided design CAD software,N,N
Artificial intelligence software,Industrial control software,N,N
Artisan Studio,Development environment software,N,N
Arts & Letters Express,Graphics or photo imaging software,N,N
Artsco OrthoPro Complete,Medical software,N,N
Artsystems Collections,Data base user interface and query software,N,N
Aruba Networks AirWave,Administration software,N,N
Asana,Cloud-based data access and sharing software,Y,N
Ascend Property Assessment,Data base user interface and query software,N,N
Ascensio Systems TeamLab,Project management software,N,N
Ascentis Employee Self-Service,Human resources software,N,N
Ascentis HR,Human resources software,N,N
Ashkon Translation Pad,Foreign language software,N,N
Ashlar-Vellum Cobalt,Computer aided design CAD software,N,N
Ashlar-Vellum Graphite,Computer aided design CAD software,N,N
Ashley Software Writer's Blocks,Word processing software,N,N
Askia Design,Data base user interface and query software,N,N
Askia Vista,Data base user interface and query software,N,N
Askia Web,Data base user interface and query software,N,N
Askiaanalyse,Analytical or scientific software,N,N
Askiaface,Data base user interface and query software,N,N
Askiavoice,Data base user interface and query software,N,N
Aspect Loss Prevention Aspect EliteLP,Analytical or scientific software,N,N
Aspen Graphics Technical Analysis Software,Financial analysis software,N,N
AspenTech Aspen InfoPlus,Materials requirements planning logistics and supply chain software,N,N
AspenTech HYSYS,Analytical or scientific software,N,N
AspenTech aspenONE,Analytical or scientific software,N,N
Asprova,Materials requirements planning logistics and supply chain software,N,N
Aspyra CyberLAB,Medical software,N,N
Aspyra CyberPATH,Medical software,N,N
Assembla,Project management software,N,N
Assembly line balancing software,Industrial control software,N,N
Assessment Systems Corporation XCALIBRE,Analytical or scientific software,N,N
Assessment software,Analytical or scientific software,N,N
Asset allocation software,Financial analysis software,N,N
Asset management administration software,Administration software,N,N
Asset management software,Inventory management software,N,N
Assisi Compiler,Data base user interface and query software,N,N
Assisi Forest,Analytical or scientific software,N,N
Assisi Inventory,Inventory management software,N,N
Assisi Software Assisi Inventory,Inventory management software,N,N
Assisi Software Assisi Manager,Data base user interface and query software,N,N
Assisi Software Assisi Resource,Analytical or scientific software,N,N
Assistant Software for Antimicrobial Susceptibility Interpretation ASASI,Analytical or scientific software,N,N
Assisted model building with energy refinement AMBER,Analytical or scientific software,N,N
Association for Computing Machinery Digital Library,Data base user interface and query software,N,N
